Front,Back,Tags
Elige: nachbringen / wegbringen / hinbringen / mitbringen<br><br>Kannst du bitte das Altpapier ___?,"wegbringen<br>Kannst du bitte das Altpapier wegbringen?<br>wegbringen = llevarse algo, quitar algo<br>Construcción: wegbringen + Akkusativobjekt",verb_prefix family::bringen prefix::weg separability::separable difficulty::a2 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: wegbringen / weiterbringen / ausbringen / zurückbringen<br><br>Das ___ uns auch nicht weiter.,"weiterbringen<br>Das bringt uns auch nicht weiter.<br>weiterbringen = avanzar, ayudar a resolver<br>Construcción: etwas weiterbringen",verb_prefix family::bringen prefix::weiter separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: herbringen / zubringen / wegbringen / fortbringen<br><br>Dem Bodensee wird das meiste Wasser vom Rhein ___gebracht.,zubringen<br>Dem Bodensee wird das meiste Wasser vom Rhein zugebracht.<br>zubringen = llevar algo a un lugar o a alguien (arcaico)<br>Construcción: zubringen + Akkusativ + Dativ oder Ortsangabe,verb_prefix family::bringen prefix::zu separability::separable difficulty::c1 register::archaic source::wiktionary_openai quality::ok cardtype::contrast
Elige: erbringen / mitbringen / wegbringen / zurückbringen<br><br>Wilhelm ___ die geliehenen Fahrzeuge ausnahmslos vollgetankt zurück.,zurückbringen<br>Wilhelm bringt die geliehenen Fahrzeuge ausnahmslos vollgetankt zurück.<br>zurückbringen = llevar a alguien o algo de vuelta al lugar de donde vino antes<br>Construcción: jemanden/etwas + zurückbringen,verb_prefix family::bringen prefix::zurück separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: herbringen / ausbringen / mitbringen / zusammenbringen<br><br>Es war Gitta, die die Freundin damals mit ihrem heutigen Mann ___brachte.","zusammenbringen<br>Es war Gitta, die die Freundin damals mit ihrem heutigen Mann zusammenbrachte.<br>zusammenbringen = unir a dos personas o cosas para que formen una pareja o unidad<br>Construcción: jemanden/etwas mit jemandem/etwas zusammenbringen",verb_prefix family::bringen prefix::zusammen separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: nachfahren / zufahren / anfahren / wegfahren<br><br>Ich versuchte ___, aber der Motor streikte.","anfahren<br>Ich versuchte anzufahren, aber der Motor streikte.<br>anfahren = arrancar un vehículo<br>Construcción: anfahren + Akkusativobjekt (Fahrzeug)",verb_prefix family::fahren prefix::an separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: ausfahren / weiterfahren / befahren / wegfahren<br><br>Kurz nach Beendigung dieser Tätigkeit begann er aus eigenem Entschluss, ehrenamtlich behinderte Menschen in ihren Rollstühlen ___, damit sie an die frische Luft kommen.","ausfahren<br>Kurz nach Beendigung dieser Tätigkeit begann er aus eigenem Entschluss, ehrenamtlich behinderte Menschen in ihren Rollstühlen auszufahren, damit sie an die frische Luft kommen.<br>ausfahren = llevar a alguien en un vehículo a un lugar y luego devolverlo<br>Construcción: ausfahren + Akkusativobjekt",verb_prefix family::fahren prefix::aus separability::separable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: zerfahren / befahren / wegfahren / zufahren<br><br>Die Nordmänner erkunden mit ihnen die Ströme des heutigen Russland und der Ukraine, ___ das Schwarze Meer und laden in Konstantinopel Schätze an Bord.","befahren<br>Die Nordmänner erkunden mit ihnen die Ströme des heutigen Russland und der Ukraine, befahren das Schwarze Meer und laden in Konstantinopel Schätze an Bord.<br>befahren = conducir en un camino o zona<br>Construcción: befahren + Akkusativobjekt",verb_prefix family::fahren prefix::be separability::inseparable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: zufahren / einfahren / anfahren / zerfahren<br><br>Der 19-Jährige fuhr ersten Ermittlungen zufolge auch im nächsten Ort deutlich zu schnell in eine Kurve ___.,einfahren<br>Der 19-Jährige fuhr ersten Ermittlungen zufolge auch im nächsten Ort deutlich zu schnell in eine Kurve ein.<br>einfahren = poner en marcha; introducir un vehículo en un espacio o área<br>Construcción: Subjekt fährt etwas ein / fährt in etwas (Akkusativ) ein,verb_prefix family::fahren prefix::ein separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: anfahren / einfahren / weiterfahren / erfahren<br><br>Ich habe im Leben viel Gutes und Böses ___ .,"erfahren<br>Ich habe im Leben viel Gutes und Böses erfahren.<br>erfahren = experimentar, sufrir, padecer, saber<br>Construcción: Subjekt + erfahren + Akkusativobjekt",verb_prefix family::fahren prefix::er separability::inseparable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: zufahren / mitfahren / befahren / nachfahren<br><br>Lass uns doch bei Lukas ___!,mitfahren<br>Lass uns doch bei Lukas mitfahren!<br>mitfahren = ir en el mismo vehículo con otra(s) persona(s)<br>Construcción: mitfahren + (optional) Präpositionalphrase oder Objekt,verb_prefix family::fahren prefix::mit separability::separable difficulty::a2 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: mitfahren / befahren / ausfahren / nachfahren<br><br>Er wollte seiner Familie einige Tage später in den Urlaub ___, aber dafür war er zu müde.","nachfahren<br>Er wollte seiner Familie einige Tage später in den Urlaub nachfahren, aber dafür war er zu müde.<br>nachfahren = seguir a alguien o algo conduciendo<br>Construcción: nachfahren + Dativ (jemandem/etwas)",verb_prefix family::fahren prefix::nach separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: verfahren / weiterfahren / zusammenfahren / wegfahren<br><br>Entschuldige die Verspätung. Ich habe mich auf dem Herweg total ___ .,"verfahren<br>Entschuldige die Verspätung. Ich habe mich auf dem Herweg total verfahren.<br>verfahren = perderse conduciendo un vehículo, perder la orientación<br>Construcción: reflexiv mit Dativobjekt (auf einer Strecke)",verb_prefix family::fahren prefix::ver separability::inseparable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: wegfahren / verfahren / einfahren / erfahren<br><br>Mir geht hier alles auf den Wecker, ich glaube, ich muss ___.","wegfahren<br>Mir geht hier alles auf den Wecker, ich glaube, ich muss wegfahren.<br>wegfahren = partir, marcharse<br>Construcción: wegfahren + (wohin)",verb_prefix family::fahren prefix::weg separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: einfahren / befahren / weiterfahren / wegfahren<br><br>Ich fahre noch zwei Stationen ___.,weiterfahren<br>Ich fahre noch zwei Stationen weiter.<br>weiterfahren = continuar un trayecto<br>Construcción: weiterfahren [etwas],verb_prefix family::fahren prefix::weiter separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: zerfahren / zusammenfahren / wegfahren / einfahren<br><br>Die Baufahrzeuge haben die Auffahrt zum Baugrundstück völlig ___ .,zerfahren<br>Die Baufahrzeuge haben die Auffahrt zum Baugrundstück völlig zerfahren.<br>zerfahren = Dañar o destruir el suelo al pasar vehículos por encima.<br>Construcción: zerfahren + Akkusativ (Objekt),verb_prefix family::fahren prefix::zer separability::inseparable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: zufahren / einfahren / nachfahren / wegfahren<br><br>Fahr direkt auf den Wasserturm ___, dann siehst du links ein dreistöckiges Wohnhaus.","zufahren<br>Fahr direkt auf den Wasserturm zu, dann siehst du links ein dreistöckiges Wohnhaus.<br>zufahren = dirigirse hacia<br>Construcción: fahren + zu + Ziel (Akkusativ)",verb_prefix family::fahren prefix::zu separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: weiterfahren / wegfahren / befahren / zusammenfahren<br><br>Der laute Knall ließ sie ___.,"zusammenfahren<br>Der laute Knall ließ sie zusammenfahren.<br>zusammenfahren = sobresaltarse de repente, encogerse por un ruido o susto<br>Construcción: zusammenfahren + (vor Schreck)",verb_prefix family::fahren prefix::zusammen separability::separable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: abfallen / herfallen / missfallen / entfallen<br><br>Im Herbst sieht man die Blätter von den Bäumen ___.,abfallen<br>Im Herbst sieht man die Blätter von den Bäumen abfallen.<br>abfallen = Caer separándose de algo<br>Construcción: abfallen von + Dativ,verb_prefix family::fallen prefix::ab separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: anfallen / wegfallen / entfallen / auffallen<br><br>Der Hund riss sich los und fiel einen Passanten ___.,anfallen<br>Der Hund riss sich los und fiel einen Passanten an.<br>anfallen = atacar a alguien de forma repentina y violenta<br>Construcción: jemanden anfallen,verb_prefix family::fallen prefix::an separability::separable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: befallen / wegfallen / herfallen / auffallen<br><br>___ ist nicht schwer, nur angenehm auffallen ist schwer.","auffallen<br>Auffallen ist nicht schwer, nur angenehm auffallen ist schwer.<br>auffallen = llamar la atención, resaltar<br>Construcción: auffallen (jemandem)",verb_prefix family::fallen prefix::auf separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: entfallen / ausfallen / auffallen / zerfallen<br><br>Auf Grund seiner Verletzung wird der Stürmer für die nächsten 3 Wochen ___.,ausfallen<br>Auf Grund seiner Verletzung wird der Stürmer für die nächsten 3 Wochen ausfallen.<br>ausfallen = estar de baja<br>Construcción: Subjekt + ausfallen,verb_prefix family::fallen prefix::aus separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: zusammenfallen / befallen / fortfallen / ausfallen<br><br>Die bluthungrigen Parasiten ___ meist Haustiere wie Hunde oder Katzen.,"befallen<br>Die bluthungrigen Parasiten befallen meist Haustiere wie Hunde oder Katzen.<br>befallen = afectar de repente, caer sobre<br>Construcción: transitiv + Akkusativobjekt",verb_prefix family::fallen prefix::be separability::inseparable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: herfallen / auffallen / abfallen / beifallen<br><br>Das sehe ich auch so, da kann ich Ihnen nur ___.","beifallen<br>Das sehe ich auch so, da kann ich Ihnen nur beifallen.<br>beifallen = estar de acuerdo con alguien o expresar una opinión aprobatoria (arcaico)<br>Construcción: jemandem bei-fallen",verb_prefix family::fallen prefix::bei separability::separable difficulty::c2 register::archaic source::wiktionary_openai quality::ok cardtype::contrast
Elige: zusammenfallen / entfallen / wegfallen / herfallen<br><br>Der Kugelschreiber ist ihm ___.,"entfallen<br>Der Kugelschreiber ist ihm entfallen.<br>entfallen = escaparse, caerse de la mano<br>Construcción: entfallen + Dativ (Person)",verb_prefix family::fallen prefix::ent separability::inseparable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: fortfallen / anfallen / beifallen / zusammenfallen<br><br>Die Gehaltserhöhung brachte ihr nicht viel, weil dafür die Wochenendzuschläge ___.","fortfallen<br>Die Gehaltserhöhung brachte ihr nicht viel, weil dafür die Wochenendzuschläge fortfielen.<br>fortfallen = dejar de aplicarse o desaparecer<br>Construcción: fortfallen [Subjekt]",verb_prefix family::fallen prefix::fort separability::separable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: befallen / herfallen / beifallen / abfallen<br><br>Die Tiere fallen über Obstplantagen, Weinberge, Wälder, Grünanlagen und Gärten ___ und fressen bei mehr als 300 Pflanzenarten alles kahl.","herfallen<br>Die Tiere fallen über Obstplantagen, Weinberge, Wälder, Grünanlagen und Gärten her und fressen bei mehr als 300 Pflanzenarten alles kahl.<br>herfallen = atacar a alguien o algo<br>Construcción: über + Akkusativ herfallen",verb_prefix family::fallen prefix::her separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: zerfallen / fortfallen / befallen / missfallen<br><br>Diese Verhältnisse sind, auch wenn sie dem Westen ___, genauso real wie das demografische Ungleichgewicht, die Jugendarbeitslosigkeit und die Korruption der Regime.","missfallen<br>Diese Verhältnisse sind, auch wenn sie dem Westen missfallen, genauso real wie das demografische Ungleichgewicht, die Jugendarbeitslosigkeit und die Korruption der Regime.<br>missfallen = desagradar, causar mala impresión<br>Construcción: missfallen + Dativ",verb_prefix family::fallen prefix::miss separability::inseparable difficulty::b2 register::formal source::wiktionary_openai quality::ok cardtype::contrast
"Elige: fortfallen / anfallen / zerfallen / vorfallen<br><br>Du hast so lange Haare, dass sie ___ können.","vorfallen<br>Du hast so lange Haare, dass sie vorfallen können.<br>vorfallen = caerse hacia adelante, especialmente órganos (médico)<br>Construcción: vorfallen (Verb)",verb_prefix family::fallen prefix::vor separability::separable difficulty::b2 register::domain-specific source::wiktionary_openai quality::ok cardtype::contrast
"Elige: wegfallen / auffallen / zusammenfallen / fortfallen<br><br>Der Krieg beschleunigte die Industrialisierung, weil bisherige Importe plötzlich ___ und die Waren selbst hergestellt werden mussten.","wegfallen<br>Der Krieg beschleunigte die Industrialisierung, weil bisherige Importe plötzlich wegfielen und die Waren selbst hergestellt werden mussten, analysiert Franz Waldenberger.<br>wegfallen = desaparecer o no estar disponible temporalmente<br>Construcción: wegfallen (kein Objekt, intransitiv)",verb_prefix family::fallen prefix::weg separability::separable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: herfallen / beifallen / wegfallen / zerfallen<br><br>Das alte Bauwerk ___ immer mehr.,"zerfallen<br>Das alte Bauwerk zerfällt immer mehr.<br>zerfallen = desintegrarse en partes, disolverse<br>Construcción: zerfallen (sein)",verb_prefix family::fallen prefix::zer separability::inseparable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: zusammenfallen / herfallen / vorfallen / auffallen<br><br>Die bei dieser Eruption ___ Magmakammer bildet das Bett für den heutigen See.,"zusammenfallen<br>Die bei dieser Eruption zusammengefallene Magmakammer bildet das Bett für den heutigen See.<br>zusammenfallen = colapsar, derrumbarse<br>Construcción: zusammenfallen (etwas)",verb_prefix family::fallen prefix::zusammen separability::separable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: anführen / einführen / mitführen / fortführen<br><br>Aemilius ___ die Römer an.,anführen<br>Aemilius führt die Römer an.<br>anführen = dirigir o encabezar a un grupo o personas<br>Construcción: Subjekt + anführen + Akkusativobjekt,verb_prefix family::führen prefix::an separability::separable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: hinführen / nachführen / entführen / ausführen<br><br>Entwicklungsländer führen meist einfache landwirtschaftliche Produkte ___ .,ausführen<br>Entwicklungsländer führen meist einfache landwirtschaftliche Produkte aus.<br>ausführen = exportar productos a otros países<br>Construcción: ausführen + Akkusativobjekt,verb_prefix family::führen prefix::aus separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: einführen / weiterführen / vorführen / verführen<br><br>Der Importeur war darauf spezialisiert, Unterhaltungselektronik aus Asien ___.","einführen<br>Der Importeur war darauf spezialisiert, Unterhaltungselektronik aus Asien einzuführen.<br>einführen = traer mercancías a un país o región (importar)<br>Construcción: einführen + Akkusativobjekt",verb_prefix family::führen prefix::ein separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: mitführen / herführen / entführen / hinführen<br><br>Jemand hat meinen Sohn ___ und droht ihn zu töten!,"entführen<br>Jemand hat meinen Sohn entführt und droht ihn zu töten!<br>entführen = Secuestrar, raptar, plagiar a alguien.<br>Construcción: jemanden entführen",verb_prefix family::führen prefix::ent separability::inseparable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: fortführen / zurückführen / mitführen / entführen<br><br>Morgen werden wir die Verhandlungen ___.,"fortführen<br>Morgen werden wir die Verhandlungen fortführen.<br>fortführen = continuar haciendo algo, por ejemplo una actividad o un proyecto<br>Construcción: transitiv + Akkusativobjekt",verb_prefix family::führen prefix::fort separability::separable difficulty::b2 register::formal source::wiktionary_openai quality::ok cardtype::contrast
"Elige: fortführen / herführen / einführen / nachführen<br><br>Erzähl, was dich zu mir ___ hat.","herführen<br>Erzähl, was dich zu mir hergeführt hat.<br>herführen = Llevar o guiar a alguien hasta aquí, a este lugar.<br>Construcción: jemanden hierher führen",verb_prefix family::führen prefix::her separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: mitführen / ausführen / anführen / hinführen<br><br>Ich soll sie zu der Stelle ___, wo damals der Unfall geschah.","hinführen<br>Ich soll sie zu der Stelle hinführen, wo damals der Unfall geschah.<br>hinführen = acompañar a alguien a un lugar<br>Construcción: jemanden zu einem Ort hinführen",verb_prefix family::führen prefix::hin separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: fortführen / vorführen / nachführen / mitführen<br><br>Sie müssen schon Ihren Personalausweis ___, das wissen Sie doch, oder?","mitführen<br>Sie müssen schon Ihren Personalausweis mitführen, das wissen Sie doch, oder?<br>mitführen = llevar algo consigo<br>Construcción: mitführen + Akkusativobjekt",verb_prefix family::führen prefix::mit separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: nachführen / verführen / zurückführen / vorführen<br><br>Die Effizienz von Photovoltaikanlagen steigt, wenn man die Panels der Sonne ___.","nachführen<br>Die Effizienz von Photovoltaikanlagen steigt, wenn man die Panels der Sonne nachführt.<br>nachführen = ajustar algo a un objetivo cambiante<br>Construcción: nachführen + Akkusativobjekt",verb_prefix family::führen prefix::nach separability::separable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: mitführen / herführen / fortführen / verführen<br><br>Es sind ferner 130 Pferde vorhanden, welche das Bier ___.","verführen<br>Es sind ferner 130 Pferde vorhanden, welche das Bier verführen.<br>verführen = engañar o inducir a hacer algo malo<br>Construcción: verführen + Akkusativobjekt",verb_prefix family::führen prefix::ver separability::inseparable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: herführen / vorführen / nachführen / hinführen<br><br>Ein Kinofilm, der mit der gängigen analogen Technologie aufgezeichnet wurde, kann auf jedem Kinoprojektor in jedem Land der Welt ___ werden.","vorführen<br>Ein Kinofilm, der mit der gängigen analogen Technologie aufgezeichnet wurde, kann auf jedem Kinoprojektor in jedem Land der Welt vorgeführt werden.<br>vorführen = mostrar<br>Construcción: vorführen + Akkusativobjekt (etwas)",verb_prefix family::führen prefix::vor separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: weiterführen / einführen / fortführen / nachführen<br><br>...konnte Spitzy diese Einrichtung nach Kriegsende als Zivilspital ___ und wurde 1923 zum Direktor ...,"weiterführen<br>1918 zum titular a.o. Prof. ernannt, konnte Spitzy diese Einrichtung nach Kriegsende als Zivilspital weiterführen und wurde 1923 zum Direktor und Primararzt dieses orthopädischen Spitals ernannt, an dem er bis 1942 wirkte.<br>weiterführen = continuar algo que se ha empezado<br>Construcción: weiterführen + Akkusativobjekt",verb_prefix family::führen prefix::weiter separability::separable difficulty::b2 register::formal source::wiktionary_openai quality::ok cardtype::contrast
"Elige: zurückführen / fortführen / vorführen / zuführen<br><br>Der Maschine wird kein Strom ___, da das Kabel defekt ist.","zuführen<br>Der Maschine wird kein Strom zugeführt, da das Kabel defekt ist.<br>zuführen = conducir hacia un lugar<br>Construcción: etwas zu etwas zuführen",verb_prefix family::führen prefix::zu separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: verführen / weiterführen / zurückführen / einführen<br><br>Der Bund muss viel stärker als bisher geplant und langfristiger operativ in die Betreuung einsteigen und mindestens die Hälfte aller Flüchtlinge aufnehmen, betreuen und bei negativem Ausgang in ihre Heimatländer ___.","zurückführen<br>Der Bund muss viel stärker als bisher geplant und langfristiger operativ in die Betreuung einsteigen und mindestens die Hälfte aller Flüchtlinge aufnehmen, betreuen und bei negativem Ausgang in ihre Heimatländer zurückführen.<br>zurückführen = llevar de vuelta al lugar de origen<br>Construcción: jemanden/etwas zurückführen (auf)",verb_prefix family::führen prefix::zurück separability::separable difficulty::b2 register::formal source::wiktionary_openai quality::ok cardtype::contrast
Elige: mitgeben / abgeben / ausgeben / eingeben<br><br>Am Schluss geben Sie bitte Ihre Klausur bei mir ___ .,"abgeben<br>Am Schluss geben Sie bitte Ihre Klausur bei mir ab.<br>abgeben = entregar, ceder, dar, emitir<br>Construcción: jemandem etwas abgeben",verb_prefix family::geben prefix::ab separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: zugeben / angeben / eingeben / weitergeben<br><br>Bei der Versicherung gab er seine neue Adresse ___ .,angeben<br>Bei der Versicherung gab er seine neue Adresse an.<br>angeben = indicar o afirmar una información.<br>Construcción: angeben + Akkusativ (die Information),verb_prefix family::geben prefix::an separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: zugeben / hingeben / weitergeben / aufgeben<br><br>Der Läufer gab nach einem Sturz ___ .,"aufgeben<br>Der Läufer gab nach einem Sturz auf.<br>aufgeben = cesar, rendirse, renunciar<br>Construcción: aufgeben + Akkusativobjekt (etwas)",verb_prefix family::geben prefix::auf separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: nachgeben / ausgeben / eingeben / weitergeben<br><br>Ich gebe rund 40 % meines Netto-Einkommens für die Wohnungsmiete ___.,ausgeben<br>Ich gebe rund 40 % meines Netto-Einkommens für die Wohnungsmiete aus.<br>ausgeben = gastar dinero<br>Construcción: ausgeben + Akkusativobjekt,verb_prefix family::geben prefix::aus separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: eingeben / ausgeben / aufgeben / zurückgeben<br><br>Man gab dem Töchterchen Arzney ___ und legte es zu Bette.,eingeben<br>Man gab dem Töchterchen Arzney ein und legte es zu Bette.<br>eingeben = Administrar o dar una medicina o remedio a alguien para que lo tome.<br>Construcción: jemandem (Dativ) etwas (Akkusativ) eingeben,verb_prefix family::geben prefix::ein separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: eingeben / weitergeben / nachgeben / hergeben<br><br>Gib mir bitte den Salzstreuer ___ .,"hergeben<br>Gib mir bitte den Salzstreuer her.<br>hergeben = dar, entregar<br>Construcción: hergeben + Akkusativobjekt",verb_prefix family::geben prefix::her separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: zugeben / hingeben / ausgeben / mitgeben<br><br>Da waren zwei alte Künstler, die erschraken darüber, was sie im Laufe der Zeit an so viele Menschen ___ hatten und wovon bei diesen Beschenkten keine Spur geblieben war; die nichts davon behalten und die die Gaben nicht zu Begabten gemacht hatten.","hingeben<br>Da waren zwei alte Künstler, die erschraken darüber, was sie im Laufe der Zeit an so viele Menschen hingegeben hatten und wovon bei diesen Beschenkten keine Spur geblieben war; die nichts davon behalten und die die Gaben nicht zu Begabten gemacht hatten.<br>hingeben = entregar algo a alguien, dándolo hacia su dirección<br>Construcción: transitiv mit Dativ",verb_prefix family::geben prefix::hin separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: hingeben / ausgeben / abgeben / mitgeben<br><br>Da er gleich zur Post fuhr, konnten wir ihm unser Paket ___.","mitgeben<br>Da er gleich zur Post fuhr, konnten wir ihm unser Paket mitgeben.<br>mitgeben = dar a alguien que se va algo, generalmente con un propósito especial<br>Construcción: jemandem (Dativ) etwas (Akkusativ) mitgeben",verb_prefix family::geben prefix::mit separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
