base,derived,prefix,separability,pos,gloss_de,gloss_es,gloss_en,example,wiktionary_url
bringen,hinbringen,hin-,separable,Verb,"zu einem Ort transportieren umgangssprachlich : mit etwas Glück gelingen lassen; etwas schaffen über Zeit, einen Zeitraum: ( wartend oder handelnd ) verstreichen lassen",,,Kannst du das Päckchen zum Bahnhof hinbringen ?,https://de.wiktionary.org/wiki/hinbringen
bringen,hinterbringen,hinter-,ambiguous,Verb,transitiv : jemandem etwas (heimlich) sagen,,,"„Ich hatte Beweise, daß man der Königin seit einem Monat solche Reden hinterbracht hatte.“",https://de.wiktionary.org/wiki/hinterbringen
bringen,mitbringen,mit-,separable,Verb,"etwas bei sich führen, um es da, wo man hinkommt, weiterzugeben jemanden an ein Ziel geleiten",,,Würdest du mir bitte etwas aus der Stadt mitbringen?,https://de.wiktionary.org/wiki/mitbringen
bringen,nachbringen,nach-,separable,Verb,"transitiv : jemandem folgen und ihm etwas übergeben, das dieser vergessen, liegen gelassen hat transitiv : zu einem späteren Zeitpunkt vorlegen",,,"Der Kellner war so freundlich, mir meinen vergessenen Schirm gleich nachzubringen.",https://de.wiktionary.org/wiki/nachbringen
bringen,umbringen,um-,ambiguous,Verb,"transitiv : jemanden töten , jemanden ums Leben bringen reflexiv , übertragen : sich selbst töten transitiv , reflexiv : sich/jemanden sehr anstrengen transitiv : etwas auf sehr übertriebene Weise machen transitiv : jemanden verrückt machen verneint : nicht zu zerstören sein, unverwüstlich sein transitiv , veraltete Bedeutung : an einen anderen Ort bringen Bergwesen : Bock und Rost in ein anderes Feuer bringen transitiv , veraltete Bedeutung : zurückbringen transitiv , veraltete Bedeutung : etwas umpflügen transitiv , veraltete Bedeutung : zu Boden bringen , zu Boden werfen transitiv , veraltete Bedeutung : von einem Ort wegbringen transitiv , veraltete Bedeutung : eine Sache zerstören , vernichten transitiv , veraltete Bedeutung : ( Besitz , seltener auch Zeit ) durchbringen , verprassen , vergeuden",,,Ich werde dieses Miststück umbringen.,https://de.wiktionary.org/wiki/umbringen
bringen,unterbringen,unter-,ambiguous,Verb,"jemandem eine Bleibe , Unterkunft verschaffen jemandem eine Arbeits- oder Ausbildungsstelle verschaffen Platz oder Zeit für etwas einräumen, finden",,,"„Oder es waren halbzerfallene Katen, in denen ich höchstens meine Esel und Ziegen unterbringen könnte.“",https://de.wiktionary.org/wiki/unterbringen
bringen,verbringen,ver-,inseparable,Verb,"[a] fortbringen , hinwegschaffen [b] heimlich , diebisch wegschaffen [c] für sich zusammentragen [d] im weitesten Sinne: an einen unbekannten Ort schaffen , zu einer unbekannten Stelle führen [e] übertragen: durch Vergeudung , Verschwendung , Verausgabung vertun , fortschaffen [f] übertragen: abschaffen , aus der Welt schaffen; umbringen veraltet [a] vollbringen , zur Vollendung bringen [b] etwas ausführen , unternehmen Schriftdeutsch, besonders Amtssprache; ansonsten mündlich veraltend [a] etwas, jemanden an irgendeinen Ort schaffen, hinwegschaffen, hinwegbringen [b] jemandem etwas an einen bestimmten Ort zuschicken , liefern [c] jemanden, etwas weisungsgemäß einer staatlichen beziehungsweise gerichtlichen Stelle übergeben , ausliefern besonders mit Angaben von Zeit und Zeiträumen (Jugend, Alter, Leben, Ferien, Wochenende, usw.): eine Zeitdauer verstreichen lassen; Zeit für etwas verwenden verbringen mit: beschäftigt sein; sich einer Sache widmen",,,"[1d] Der Marschall hat die entwendeten Briefe, die er ihm aus der Brust zog, damit ein anderer sie nicht verbrächte noch verwendte, bis zur weiteren Erkundigung zu sich genommen.",https://de.wiktionary.org/wiki/verbringen
bringen,vorbringen,vor-,separable,Verb,"umgangssprachlich , räumlich : nach vorne tragen ( bringen ) etwas sagen, meist als Begründung , Erläuterung oder Wunsch anderen Personen (zusammenfassend zur weiteren Bearbeitung / Würdigung ) anbieten, vorlegen",,,"So, einer nach dem anderen kommt ihr jetzt und bringt eure Zeichnungen vor .",https://de.wiktionary.org/wiki/vorbringen
bringen,wegbringen,weg-,separable,Verb,eine Sache an einen anderen Ort bewegen eine Person an einen anderen Ort führen,,,Kannst du bitte das Altpapier wegbringen?,https://de.wiktionary.org/wiki/wegbringen
bringen,weiterbringen,weiter-,separable,Verb,"häufig unpersönlich : in eine bessere Position versetzen, die dem Ziel näher ist; zur Lösung beitragen",,,Das bringt uns auch nicht weiter .,https://de.wiktionary.org/wiki/weiterbringen
bringen,zubringen,zu-,separable,Verb,"veraltend: etwas jemandem oder zu einem Ort bringen während einer bestimmten Zeitspanne an einem bestimmten Ort verweilen landschaftlich: fähig sein, etwas zuzumachen, etwas zu schließen",,,Dem Bodensee wird das meiste Wasser vom Rhein zugebracht.,https://de.wiktionary.org/wiki/zubringen
bringen,zurückbringen,zurück-,separable,Verb,"transitiv : jemanden oder etwas wieder dorthin bringen, wo er/sie/es zuvor hergekommen ist transitiv : jemanden oder etwas in eine benachteiligte Situation bringen, dass es nichts anderes übrig bleibt, als noch einmal aufs Neue anzufangen transitiv : etwas wieder in den Ursprungszustand bringen",,,Wilhelm bringt die geliehenen Fahrzeuge ausnahmslos vollgetankt zurück .,https://de.wiktionary.org/wiki/zur%C3%BCckbringen
bringen,zusammenbringen,zusammen-,separable,Verb,"zwei Personen zueinanderführen, sie zu einem Paar vereinen eine gewünschte Anzahl/Summe ansammeln umgangssprachlich : eine (technische, mechanische) Aufgabe schaffen können umgangssprachlich : sich detailliert erinnern können",,,"Es war Gitta, die die Freundin damals mit ihrem heutigen Mann zusammenbrachte .",https://de.wiktionary.org/wiki/zusammenbringen
bringen,überbringen,über-,ambiguous,Verb,"transitiv : jemandem etwas zustellen, geben, bringen",,,Er überbringt ihr den Brief.,https://de.wiktionary.org/wiki/%C3%BCberbringen
fahren,abfahren,ab-,separable,Verb,"intransitiv , Hilfsverb sein : sich ( fahrend , im Fahrzeug ) von einem Ort wegbegeben transitiv , Hilfsverb haben : etwas von einem Ort (fahrend, mit einem Fahrzeug) an einen anderen Ort bringen transitiv , Hilfsverb haben : etwas (fahrend, bei der Fahrt , mit einem Fahrzeug) abtrennen transitiv , Hilfsverb sein : eine bestimmte Strecke entlangfahren übertragen , Hilfsverb haben , jemanden abfahren lassen : jemandem eine Abfuhr erteilen übertragen , Hilfsverb sein , auf jemanden/etwas abfahren : sehr gerne mögen Hilfsverb sein , meist Skisport : nach unten, an einen tiefer gelegenen Ort – in die Tiefe (abwärts) –, fahren",,,Der Zug fährt am Hauptbahnhof ab.,https://de.wiktionary.org/wiki/abfahren
fahren,anfahren,an-,separable,Verb,"losfahren , ein Fahrzeug starten , zu fahren beginnen intransitiv , Hilfsverb sein : heranfahren , näher kommen ein Ziel beim Fahren haben, einen Ort anzielen eine Ware mit einem Fahrzeug herbei karren zusammenstoßen, zusammenfahren, mit einem Fahrzeug kollidieren laut zurechtweisen Technik : eine Produktion starten, eine größere Maschinerie starten Bergbau : eine Lagerstätte erschließen",,,"Ich versuchte anzufahren, aber der Motor streikte.",https://de.wiktionary.org/wiki/anfahren
fahren,auffahren,auf-,separable,Verb,"beim Fahren gegen die Rückseite des vorausfahrenden Fahrzeugs oder gegen ein Hindernis prallen; bei Schiffen auch: auf Grund laufen mit geringem Abstand hinter einem vorausfahrenden Fahrzeug fahren irgendwo anfahren, vorfahren, hinauffahren besonders Militärwesen : (mit militärischem Gerät, etwa Panzern) irgendwo anfahren und sich für einen Angriff positionieren sich vor Schreck, Überraschung schnell erheben, aufrichten auf etwas eine heftige, wütende Reaktion zeigen (von Sturm oder Ähnlichem) plötzlich, unvermutet entstehen sich abrupt öffnen, weit aufgehen Religion : nach oben schweben und in den Himmel gelangen ( Himmelfahrt , Schweiz: Auffahrt ) Bergbau : aus dem Schacht fahren, zutage fahren",,,Der Fahrer des hinteren Wagens konnte nicht mehr bremsen und fuhr auf den vorderen Wagen auf.,https://de.wiktionary.org/wiki/auffahren
fahren,ausfahren,aus-,separable,Verb,"(jemanden) mit einem Fahrzeug, Kinderwagen, Rollstuhl oder Ähnlichem auf einen Ausflug, eine Ausfahrt mitnehmen (etwas) fahrend an jemanden liefern, zu jemandem bringen meist im Partizip Perfekt : (einer Straße, Piste, einem Fahrweg) durch häufiges Befahren Schaden zufügen besonders Technik : einen beweglichen Teil (einer Maschine) herausgleiten lassen; übertragen auch in Bezug auf Körperteile: (zum Beispiel Krallen, Stacheln, Ellbogen, Hals) nach außen strecken, zeigen, einsetzen in Bezug auf ein Fahrzeug, eine Maschine : die Leistung voll nutzen, bis zur Grenze der Leistungsfähigkeit gehen Sport : ein Wettrennen um einen Titel, einen Preis durchführen (eine Kurve, einen Bogen) auf der Außenseite befahren, keine Abkürzung nehmen (ein Tor, eine Brücke) zum Passieren (per Fernsteuerung) öffnen Landwirtschaft : (etwas) auf ein Feld ausbringen (Saatgut, Gülle) Seemannssprache , von einem Wasserfahrzeug aus : (Anker, Taue, Leinen) zu Wasser lassen oder zu einer Stelle schaffen, wo das Wasserfahrzeug festgemacht werden kann Jägersprache , in Bezug auf bestimmtes Federwild : das Gescheide entfernen; ausnehmen",,,"„Kurz nach Beendigung dieser Tätigkeit begann er aus eigenem Entschluss, ehrenamtlich behinderte Menschen in ihren Rollstühlen auszufahren, damit sie an die frische Luft kommen, weiter Zuwendung erfahren und Anteil daran nehmen können, was in der Umgebung ihres Hauses und im Ort passiert.“",https://de.wiktionary.org/wiki/ausfahren
fahren,befahren,be-,inseparable,Verb,transitiv : sich mit einem Gefährt auf einem Weg/in einem Gebiet fortbewegen Mehrere Bedeutungen fehlen noch.,,,"„Die Nordmänner erkunden mit ihnen die Ströme des heutigen Russland und der Ukraine, befahren das Schwarze Meer und laden in Konstantinopel Schätze an Bord.“",https://de.wiktionary.org/wiki/befahren
fahren,durchfahren,durch-,ambiguous,Verb,"fahrend durchqueren übertragen : ein plötzliches , intensives Gefühl wird verspürt übertragen : eine plötzliche Idee kommt auf",,,"Wir durchfuhren einen Tunnel, der durch den Berg führte.",https://de.wiktionary.org/wiki/durchfahren
fahren,einfahren,ein-,separable,Verb,mit einem Fortbewegungsmittel in eine Sache/in einen Ort hineinfahren Bergmannssprache : in einen Schacht hinabfahren Jägersprache : in einen Bau (in den Boden gegrabener Unterschlupf mancher Tiere) hineinkriechen,,,„Der 19-Jährige fuhr ersten Ermittlungen zufolge auch im nächsten Ort deutlich zu schnell in eine Kurve ein. “,https://de.wiktionary.org/wiki/einfahren
fahren,entfahren,ent-,inseparable,Verb,"intransitiv : unbeabsichtigt , spontan , unüberlegt , unbedacht ausgesprochen werden, mündlich geäußert werden intransitiv , gehoben , veraltende Bedeutung : schnell irgendwo herauskommen",,,„Hach!“ entfuhr es ihr.,https://de.wiktionary.org/wiki/entfahren
fahren,erfahren,er-,inseparable,Verb,"durch eigenes Erleben kennen lernen zur Kenntnis bekommen, von etwas Kenntnis erhalten , etwas mitgeteilt bekommen",,,Ich habe im Leben viel Gutes und Böses erfahren.,https://de.wiktionary.org/wiki/erfahren
fahren,festfahren,fest-,separable,Verb,"intransitiv , Hilfsverb sein : mit einem Fahrzeug in weichem Boden stecken bleiben, so dass man durch Anfahren nicht mehr vorwärtskommt reflexiv , Hilfsverb haben , übertragen : festhängen; nicht mehr weiterkommen",,,"Wir hatten uns im Acker festgefahren , aber ein Anwohner zog uns mit seinem Traktor heraus.",https://de.wiktionary.org/wiki/festfahren
fahren,fortfahren,fort-,separable,Verb,"einen Ort mit einem Fahrzeug verlassen jemanden oder etwas von einem Ort mit einem Fahrzeug wegbringen einen Vorgang, eine Tätigkeit, einen Prozess nach einer Unterbrechung wieder beginnen",,,Er fährt mit dem Motorrad fort. Er ist mit dem Motorrad fortgefahren.,https://de.wiktionary.org/wiki/fortfahren
fahren,gefahren,ge-,inseparable,Verb,ge·fah·ren,,,,https://de.wiktionary.org/wiki/gefahren
fahren,hinfahren,hin-,separable,Verb,"Hilfsverb sein : an einen bestimmten Ort fahren Hilfsverb haben : etwas oder jemanden mit einem Gefährt (oder auch das Gefährt selbst) hinbringen Hilfsverb sein : mit der Hand über etwas streichen veraltete Bedeutung , Hilfsverb sein : sterben Hilfsverb sein : mit einem Fahrzeug auf etwas entlangfahren",,,"Mir geht die Frage nicht aus dem Kopf, ich glaube, ich muss zu Oma hinfahren und mit ihr sprechen.",https://de.wiktionary.org/wiki/hinfahren
fahren,losfahren,los-,separable,Verb,"intransitiv : anfangen , sich fahrend ( irgendwohin ) zu bewegen ; anfangen zu fahren intransitiv : sich fahrend in Richtung auf etwas, jemanden bewegen ; etwas zum Richtpunkt , Ziel nehmen und sich fahrend darauf zubewegen transitiv : auf jemanden drohend zugehen oder gegen jemanden handgreiflich werden transitiv : auf etwas mit Ärger , Unwillen , Zorn reagieren",,,„Dann stieg er vergnügt auf seinen Wagen und fuhr los. “,https://de.wiktionary.org/wiki/losfahren
fahren,mitfahren,mit-,separable,Verb,intransitiv : mit einer anderen Person/Personen zusammen im gleichen Fahrzeug fahren,,,Lass uns doch bei Lukas mitfahren!,https://de.wiktionary.org/wiki/mitfahren
fahren,nachfahren,nach-,separable,Verb,"Hilfsverb sein : jemandem, einer Sache fahrend folgen, hinterherfahren Hilfsverb haben : etwas Vorgezeichnetes nachziehen Hilfsverb sein , Jägersprache : einer Fährte folgen",,,"Er wollte seiner Familie einige Tage später in den Urlaub nachfahren , aber dafür war er zu müde.",https://de.wiktionary.org/wiki/nachfahren
fahren,umfahren,um-,ambiguous,Verb,"transitiv , unregelmäßig : um etwas oder um jemanden herumfahren; ausweichen",,,Ich umfahre die Innenstadt.,https://de.wiktionary.org/wiki/umfahren
fahren,verfahren,ver-,inseparable,Verb,reflexiv : mit einem Gefährt von der Strecke abkommen und die Orientierung verlieren etwas beim Fahren verbrauchen,,,Entschuldige die Verspätung. Ich habe mich auf dem Herweg total verfahren.,https://de.wiktionary.org/wiki/verfahren
fahren,vorfahren,vor-,separable,Verb,"mit einem PKW zum Eingang eines Hauses fahren, um dort Passagiere aufzunehmen mit einem Kraftfahrzeug eine kurze Strecke in Fahrtrichtung zurücklegen mit sein: sich vor anderen mit einem Fahrzeug an einen bestimmten Ort begeben",,,"„Apple, fahr den Wagen vor .“",https://de.wiktionary.org/wiki/vorfahren
fahren,wegfahren,weg-,separable,Verb,"Hilfsverb sein : an einen anderen Ort fahren, oft mit der Bedeutung eine Reise zu unternehmen Hilfsverb haben : etwas oder jemanden mit einem Gefährt (oder auch das Gefährt selbst) wegbringen Hilfsverb sein : jemandem davonfahren, sich vom Ort entfernen",,,"Mir geht hier alles auf den Wecker, ich glaube, ich muss wegfahren.",https://de.wiktionary.org/wiki/wegfahren
fahren,weiterfahren,weiter-,separable,Verb,eine Fahrt fortsetzen,,,Ich fahre noch zwei Stationen weiter.,https://de.wiktionary.org/wiki/weiterfahren
fahren,widerfahren,wider-,ambiguous,Verb,"gehoben ; intransitiv , unpersönlich , mit Dativ : (jemandem) geschehen (besonders etwas Unausweichliches , scheinbar vom Schicksal Bestimmtes )",,,"„Ich will jedoch dieſen Gegenſtand nicht verlaſſen, ohne noch einige Geſchichten zu erzaͤhlen, wie mancherley Unangenehmes mir von meinen Geſpielen begegnet: denn das iſt ja eben das Lehrreiche ſolcher ſittlichen Mittheilungen, daß der Menſch erfahre, wie es andern ergangen, und was auch er vom Leben zu erwarten habe, und daß er, es mag ſich ereignen was will, bedenke, dieſes widerfahre ihm als Menſchen und nicht als einem beſonders Gluͤcklichen oder Ungluͤcklichen.“",https://de.wiktionary.org/wiki/widerfahren
fahren,zerfahren,zer-,inseparable,Verb,(Untergrund) durch das Befahren mit einem Fahrzeug beschädigen / zerstören (etwas) durch Überfahren mit einem Fahrzeug zerstören und verteilen,,,Die Baufahrzeuge haben die Auffahrt zum Baugrundstück völlig zerfahren.,https://de.wiktionary.org/wiki/zerfahren
fahren,zufahren,zu-,separable,Verb,"mit einem Fahrzeug auf ein Ziel zusteuern sich schnell auf etwas oder jemanden zubewegen selten : mit einem Fahrzeug bringen / liefern umgangssprachlich : nicht so trödeln , schneller fahren",,,"Fahr direkt auf den Wasserturm zu, dann siehst du links ein dreistöckiges Wohnhaus.",https://de.wiktionary.org/wiki/zufahren
fahren,zurückfahren,zurück-,separable,Verb,"sich in/mit einem Fahrzeug wieder dorthin begeben , wo man zuvor war, hergekommen ist sich auf/in/mit etwas, einem Fahrzeug nach hinten bewegen mit einer kurzen, heftigen Bewegung vor etwas oder jemandem zurückweichen",,,"Heute Nacht schlafe ich bei dir, morgen fahre ich dann zurück nach Hause.",https://de.wiktionary.org/wiki/zur%C3%BCckfahren
fahren,zusammenfahren,zusammen-,separable,Verb,"sichtlich erschrecken, die Schultern hochziehen und den Kopf einziehen aufeinander zurollen ( fahren ) und sich dann berühren , aufeinanderprallen jemanden oder etwas dadurch (schwer) verletzen / beschädigen / zerstören , dass ein Fahrzeug auf die Person oder Sache auffährt oder über sie herüberfährt",,,Der laute Knall ließ sie zusammenfahren .,https://de.wiktionary.org/wiki/zusammenfahren
fahren,überfahren,über-,ambiguous,Verb,mit einem Fahrzeug über jemanden rollen etwas fahrend passieren,,,Ich habe heute aus Versehen eine Katze überfahren.,https://de.wiktionary.org/wiki/%C3%BCberfahren
fallen,abfallen,ab-,separable,Verb,"sich von etwas lösen und herunterfallen übrig bleiben sich nicht an Vereinbarungen halten Segeln : mit einem hoch am Wind segelnden Boot vom Wind abdrehen mehr oder weniger steil nach unten verlaufen, ein Gefälle aufweisen übertragen , fachsprachlich : einen Rückgang verzeichnen, sinken, geringer werden",,,Im Herbst sieht man die Blätter von den Bäumen abfallen.,https://de.wiktionary.org/wiki/abfallen
fallen,anfallen,an-,separable,Verb,"Hilfsverb haben : jemanden plötzlich und meist gewaltsam attackieren Hilfsverb sein : auftreten, bei einem Prozess entstehen gehoben ; Entwicklung , Empfindung und Ähnliches : jemanden ergreifen",,,Der Hund riss sich los und fiel einen Passanten an.,https://de.wiktionary.org/wiki/anfallen
fallen,auffallen,auf-,separable,Verb,"Aufsehen erregen unpersönlich , jemandem fällt etwas auf : ins Bewusstsein gelangen, etwas bemerken Physik : auf eine Fläche treffen",,,"Auffallen ist nicht schwer, nur angenehm auffallen ist schwer.",https://de.wiktionary.org/wiki/auffallen
fallen,ausfallen,aus-,separable,Verb,nicht mehr zur Verfügung stehen [1a] Personen [1b] Maschinen oder sonstiges auf biologischem Wege verlieren etwas Geplantes findet nicht statt [3a] Wirtschaft : eine Verpflichtung nicht einhalten ein Ergebnis bewerten aus der Verteidigung heraus angreifen,,,[1a] Auf Grund seiner Verletzung wird der Stürmer für die nächsten 3 Wochen ausfallen.,https://de.wiktionary.org/wiki/ausfallen
fallen,befallen,be-,inseparable,Verb,transitiv : plötzlich betreffen,,,„Die bluthungrigen Parasiten befallen meist Haustiere wie Hunde oder Katzen.“,https://de.wiktionary.org/wiki/befallen
fallen,beifallen,bei-,separable,Verb,"veraltet : etwas zustimmend sagen veraltend : plötzlich auf einen Gedanken kommen, in den Sinn kommen",,,"Das sehe ich auch so, da kann ich Ihnen nur beifallen .",https://de.wiktionary.org/wiki/beifallen
fallen,durchfallen,durch-,ambiguous,Verb,"infolge der Gravitation durch eine Öffnung , beispielsweise ein Loch , nach unten fallen figurativ : keinen Erfolg haben: [2a] Schule , Studium : eine Prüfung nicht bestehen [2b] Kultur : beim Publikum / Kritikern nicht ankommen / kein Gefallen finden (kann beispielsweise für ein Theaterstück , eine Opernaufführung , einen Film gelten ) [2c] Politik : eine Wahl verlieren ; eine Abstimmung verlieren",,,»Mist! Die Schraube ist durch den Rost durchgefallen! Wie soll ich da wieder rankommen?«,https://de.wiktionary.org/wiki/durchfallen
fallen,einfallen,ein-,separable,Verb,"intransitiv : ( unerwünscht oder sogar gewaltsam ) eindringen sich ( plötzlich ) an etwas erinnern sich etwas Neues ausdenken , das einem ( spontan ) in den Sinn kommt in sich zusammenstürzen , in sich zusammenfallen , einstürzen [4a] vom Körper , Gesicht : abmagern , einsinken [4b] Seemannssprache : Abreißen der laminaren Strömung an einem Segel , beginnend am Vorliek ; es gibt dann eine charakteristische Beule im Segel bei einem Lied , einer Melodie , einem Sprechchor mitmachen , nachdem es begonnen hat von Licht , Wind , etc. : hereinkommen",,,Die Mongolenhorden fielen in großer Anzahl nach Europa ein.,https://de.wiktionary.org/wiki/einfallen
fallen,entfallen,ent-,inseparable,Verb,"aus der Hand fallen wegfallen , sich erübrigen , nicht mehr in Betracht kommen vergessen werden, aus dem Gedächtnis schwinden , aus dem Gedächtnis verloren werden jemandem oder einer Sache zuteil werden , zutreffen",,,Der Kugelschreiber ist ihm entfallen.,https://de.wiktionary.org/wiki/entfallen
fallen,fortfallen,fort-,separable,Verb,"entfallen , verschwinden , wegfallen",,,"Die Gehaltserhöhung brachte ihr nicht viel, weil dafür die Wochenendzuschläge fortfielen.",https://de.wiktionary.org/wiki/fortfallen
fallen,gefallen,ge-,inseparable,Verb,mit Dativ : jemandem angenehm sein reflexiv : sich (selbstverliebt) geben als,,,"„Es mag erstaunlich sein, dass da eine Frau so frei und offen spricht, von Erlebnissen, wie sie Frauen meistens noch verwehrt sind, doch gerade dies muss dem englischen Publikum gefallen haben.“",https://de.wiktionary.org/wiki/gefallen
fallen,herfallen,her-,separable,Verb,"jemanden unvermittelt attackieren übertragen , umgangssprachlich : jemanden unter Druck setzen abwertend : Negatives, Unwahres oder Ähnliches über jemanden sagen etwas mit großer Gier und Hast essen",,,"„Die Tiere fallen über Obstplantagen, Weinberge, Wälder, Grünanlagen und Gärten her und fressen bei mehr als 300 Pflanzenarten alles kahl.“",https://de.wiktionary.org/wiki/herfallen
fallen,hinfallen,hin-,separable,Verb,"intransitiv : (mit Wucht ) zu Boden , auf die Erde fallen intransitiv ; gehoben : sich vor jemandem auf die Knie werfen intransitiv : auf den Boden, die Erde fallen; nach unten fallen intransitiv ; selten : hinfällig werden; nicht mehr in Betracht kommen",,,"„Beim Eintritt wäre er fast hingefallen, denn hinter der Tür war noch eine Stufe.“",https://de.wiktionary.org/wiki/hinfallen
fallen,missfallen,miss-,inseparable,Verb,mißfallen,,,"„Diese Verhältnisse sind, auch wenn sie dem Westen missfallen, genauso real wie das demografische Ungleichgewicht, die Jugendarbeitslosigkeit und die Korruption der Regime.“",https://de.wiktionary.org/wiki/missfallen
fallen,nachfallen,nach-,separable,Verb,"Jägersprache , über Vögel : dort niedergehen, wo schon andere Vögel sind auch dort herabstürzen , wo jemand oder etwas anderes fällt",,,,https://de.wiktionary.org/wiki/nachfallen
fallen,umfallen,um-,ambiguous,Verb,"aus einer stehenden Position heraus zur Seite fallend in eine liegende Position kommen einen Schwächeanfall erleiden , bei dem man zu Boden geht sich im Nachhinein einer vorherrschenden Meinung oder Strömung beugen ; den Widerstand oder seine Position aufgeben österreichisch : um etwas gebracht werden; leer ausgehen",,,Ein angelehntes Fahrrad kann leicht umfallen.,https://de.wiktionary.org/wiki/umfallen
