base,derived,sense_id,prefix,separability,pos,gloss_de,gloss_es,gloss_en,example,example_de,example_es,example_en,example_de_with_blank,answer,present_example_de,perfect_example_de,construction,construction_es,register,difficulty,frequency_bucket,is_reflexive,takes_accusative,takes_dative,fixed_preposition,present_3sg,perfect_auxiliary,participle_ii,separable_sentence_pattern,is_quality_ok,quality_flags,anki_hint_es,wiktionary_url,source
bringen,vorbringen,1,vor-,separable,Verb,"umgangssprachlich , räumlich : nach vorne tragen ( bringen )",,"put forward, state, bring forward","So, einer nach dem anderen kommt ihr jetzt und bringt eure Zeichnungen vor .","So, einer nach dem anderen kommt ihr jetzt und bringt eure Zeichnungen vor .",,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/vorbringen,wiktionary
bringen,wegbringen,1,weg-,separable,Verb,transitiv :,,take away,Kannst du bitte das Altpapier wegbringen?,Kannst du bitte das Altpapier wegbringen?,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""metadata_gloss"", ""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/wegbringen,wiktionary
bringen,weiterbringen,1,weiter-,separable,Verb,"häufig unpersönlich : in eine bessere Position versetzen, die dem Ziel näher ist; zur Lösung beitragen",avanzar,"advance, help",Das bringt uns auch nicht weiter .,Das bringt uns auch nicht weiter .,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/weiterbringen,wiktionary
bringen,zubringen,1,zu-,separable,Verb,veraltend: etwas jemandem oder zu einem Ort bringen,,bring,Dem Bodensee wird das meiste Wasser vom Rhein zugebracht.,Dem Bodensee wird das meiste Wasser vom Rhein zugebracht.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/zubringen,wiktionary
bringen,zurückbringen,1,zurück-,separable,Verb,"transitiv : jemanden oder etwas wieder dorthin bringen, wo er/sie/es zuvor hergekommen ist",,bring back,Wilhelm bringt die geliehenen Fahrzeuge ausnahmslos vollgetankt zurück .,Wilhelm bringt die geliehenen Fahrzeuge ausnahmslos vollgetankt zurück .,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/zur%C3%BCckbringen,wiktionary
bringen,zusammenbringen,1,zusammen-,separable,Verb,"zwei Personen zueinanderführen, sie zu einem Paar vereinen",,,"Es war Gitta, die die Freundin damals mit ihrem heutigen Mann zusammenbrachte .","Es war Gitta, die die Freundin damals mit ihrem heutigen Mann zusammenbrachte .",,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_en"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/zusammenbringen,wiktionary
fahren,abfahren,1,ab-,separable,Verb,"intransitiv , Hilfsverb sein : sich ( fahrend , im Fahrzeug ) von einem Ort wegbegeben","salir para, acarrear, partir, arrancar","depart, leave, remove",Der Zug fährt am Hauptbahnhof ab.,Der Zug fährt am Hauptbahnhof ab.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/abfahren,wiktionary
fahren,anfahren,1,an-,separable,Verb,"losfahren , ein Fahrzeug starten , zu fahren beginnen","arrancar, poner en marcha","start, driving, start up, start a vehicle, begin driving","Ich versuchte anzufahren, aber der Motor streikte.","Ich versuchte anzufahren, aber der Motor streikte.",,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/anfahren,wiktionary
fahren,auffahren,1,auf-,separable,Verb,"intransitiv , Hilfsverb sein :","desplegar, posicionar, posicionarse, hacer avanzar, emplazar",,Der Fahrer des hinteren Wagens konnte nicht mehr bremsen und fuhr auf den vorderen Wagen auf.,Der Fahrer des hinteren Wagens konnte nicht mehr bremsen und fuhr auf den vorderen Wagen auf.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_en"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/auffahren,wiktionary
fahren,ausfahren,1,aus-,separable,Verb,"transitiv , Hilfsverb haben :",,,"Kurz nach Beendigung dieser Tätigkeit begann er aus eigenem Entschluss, ehrenamtlich behinderte Menschen in ihren Rollstühlen auszufahren, damit sie an die frische Luft kommen, weiter Zuwendung erfahren und Anteil daran nehmen können, was in der Umgebung ihres Hauses und im Ort passiert.","Kurz nach Beendigung dieser Tätigkeit begann er aus eigenem Entschluss, ehrenamtlich behinderte Menschen in ihren Rollstühlen auszufahren, damit sie an die frische Luft kommen, weiter Zuwendung erfahren und Anteil daran nehmen können, was in der Umgebung ihres Hauses und im Ort passiert.",,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""long_example"", ""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_en"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/ausfahren,wiktionary
fahren,befahren,1,be-,inseparable,Verb,transitiv : sich mit einem Gefährt auf einem Weg/in einem Gebiet fortbewegen,,"drive on, use a road, serve a route","Die Nordmänner erkunden mit ihnen die Ströme des heutigen Russland und der Ukraine, befahren das Schwarze Meer und laden in Konstantinopel Schätze an Bord.","Die Nordmänner erkunden mit ihnen die Ströme des heutigen Russland und der Ukraine, befahren das Schwarze Meer und laden in Konstantinopel Schätze an Bord.",,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/befahren,wiktionary
fahren,einfahren,1,ein-,separable,Verb,Hilfsverb sein :,,break in,Der 19-Jährige fuhr ersten Ermittlungen zufolge auch im nächsten Ort deutlich zu schnell in eine Kurve ein.,Der 19-Jährige fuhr ersten Ermittlungen zufolge auch im nächsten Ort deutlich zu schnell in eine Kurve ein.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/einfahren,wiktionary
fahren,entfahren,1,ent-,inseparable,Verb,"intransitiv : unbeabsichtigt , spontan , unüberlegt , unbedacht ausgesprochen werden, mündlich geäußert werden",,,Hach!“ entfuhr es ihr.,Hach!“ entfuhr es ihr.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_en"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/entfahren,wiktionary
fahren,erfahren,1,er-,inseparable,Verb,durch eigenes Erleben kennen lernen,"experimentar, sufrir, padecer, saber",experience,Ich habe im Leben viel Gutes und Böses erfahren.,Ich habe im Leben viel Gutes und Böses erfahren.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/erfahren,wiktionary
fahren,festfahren,1,fest-,separable,Verb,"intransitiv , Hilfsverb sein : mit einem Fahrzeug in weichem Boden stecken bleiben, so dass man durch Anfahren nicht mehr vorwärtskommt",,get stuck,"Wir hatten uns im Acker festgefahren , aber ein Anwohner zog uns mit seinem Traktor heraus.","Wir hatten uns im Acker festgefahren , aber ein Anwohner zog uns mit seinem Traktor heraus.",,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/festfahren,wiktionary
fahren,fortfahren,1,fort-,separable,Verb,einen Ort mit einem Fahrzeug verlassen,marcharse,drive away,Er fährt mit dem Motorrad fort. Er ist mit dem Motorrad fortgefahren.,Er fährt mit dem Motorrad fort. Er ist mit dem Motorrad fortgefahren.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/fortfahren,wiktionary
fahren,hinfahren,1,hin-,separable,Verb,Hilfsverb sein : an einen bestimmten Ort fahren,,,"Mir geht die Frage nicht aus dem Kopf, ich glaube, ich muss zu Oma hinfahren und mit ihr sprechen.","Mir geht die Frage nicht aus dem Kopf, ich glaube, ich muss zu Oma hinfahren und mit ihr sprechen.",,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_en"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/hinfahren,wiktionary
fahren,losfahren,1,los-,separable,Verb,"intransitiv : anfangen , sich fahrend ( irgendwohin ) zu bewegen ; anfangen zu fahren",salir,"depart, drive off, hit the road, leave, pull out, set off",Dann stieg er vergnügt auf seinen Wagen und fuhr los.,Dann stieg er vergnügt auf seinen Wagen und fuhr los.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/losfahren,wiktionary
fahren,mitfahren,1,mit-,separable,Verb,intransitiv : mit einer anderen Person/Personen zusammen im gleichen Fahrzeug fahren,ir,"drive, go, ride",Lass uns doch bei Lukas mitfahren!,Lass uns doch bei Lukas mitfahren!,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/mitfahren,wiktionary
fahren,nachfahren,1,nach-,separable,Verb,"Hilfsverb sein : jemandem, einer Sache fahrend folgen, hinterherfahren",,"drive behind, follow","Er wollte seiner Familie einige Tage später in den Urlaub nachfahren , aber dafür war er zu müde.","Er wollte seiner Familie einige Tage später in den Urlaub nachfahren , aber dafür war er zu müde.",,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/nachfahren,wiktionary
fahren,verfahren,1,ver-,inseparable,Verb,reflexiv : mit einem Gefährt von der Strecke abkommen und die Orientierung verlieren,,,Entschuldige die Verspätung. Ich habe mich auf dem Herweg total verfahren.,Entschuldige die Verspätung. Ich habe mich auf dem Herweg total verfahren.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_en"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/verfahren,wiktionary
fahren,vorfahren,1,vor-,separable,Verb,"mit einem PKW zum Eingang eines Hauses fahren, um dort Passagiere aufzunehmen",,"drive ahead, drive up","Apple, fahr den Wagen vor .","Apple, fahr den Wagen vor .",,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/vorfahren,wiktionary
fahren,wegfahren,1,weg-,separable,Verb,"Hilfsverb sein : an einen anderen Ort fahren, oft mit der Bedeutung eine Reise zu unternehmen",partir,"leave, drive away","Mir geht hier alles auf den Wecker, ich glaube, ich muss wegfahren.","Mir geht hier alles auf den Wecker, ich glaube, ich muss wegfahren.",,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/wegfahren,wiktionary
fahren,weiterfahren,1,weiter-,separable,Verb,eine Fahrt fortsetzen,,,Ich fahre noch zwei Stationen weiter.,Ich fahre noch zwei Stationen weiter.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_en"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/weiterfahren,wiktionary
fahren,zerfahren,1,zer-,inseparable,Verb,(Untergrund) durch das Befahren mit einem Fahrzeug beschädigen / zerstören,,,Die Baufahrzeuge haben die Auffahrt zum Baugrundstück völlig zerfahren.,Die Baufahrzeuge haben die Auffahrt zum Baugrundstück völlig zerfahren.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_en"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/zerfahren,wiktionary
fahren,zufahren,1,zu-,separable,Verb,mit einem Fahrzeug auf ein Ziel zusteuern,dirigirse hacia,"drive towards, head to","Fahr direkt auf den Wasserturm zu, dann siehst du links ein dreistöckiges Wohnhaus.","Fahr direkt auf den Wasserturm zu, dann siehst du links ein dreistöckiges Wohnhaus.",,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/zufahren,wiktionary
fahren,zurückfahren,1,zurück-,separable,Verb,"intransitiv , Hilfsverb sein :",,,"Heute Nacht schlafe ich bei dir, morgen fahre ich dann zurück nach Hause.","Heute Nacht schlafe ich bei dir, morgen fahre ich dann zurück nach Hause.",,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_en"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/zur%C3%BCckfahren,wiktionary
fahren,zusammenfahren,1,zusammen-,separable,Verb,"sichtlich erschrecken, die Schultern hochziehen und den Kopf einziehen",,,Der laute Knall ließ sie zusammenfahren .,Der laute Knall ließ sie zusammenfahren .,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_en"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/zusammenfahren,wiktionary
fallen,abfallen,1,ab-,separable,Verb,sich von etwas lösen und herunterfallen,caer,"fall off, drop off",Im Herbst sieht man die Blätter von den Bäumen abfallen.,Im Herbst sieht man die Blätter von den Bäumen abfallen.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/abfallen,wiktionary
fallen,anfallen,1,an-,separable,Verb,Hilfsverb haben : jemanden plötzlich und meist gewaltsam attackieren,atacar,,Der Hund riss sich los und fiel einen Passanten an.,Der Hund riss sich los und fiel einen Passanten an.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_en"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/anfallen,wiktionary
fallen,auffallen,1,auf-,separable,Verb,Aufsehen erregen,"llamar la atención, resaltar","stand out, attract attention","Auffallen ist nicht schwer, nur angenehm auffallen ist schwer.","Auffallen ist nicht schwer, nur angenehm auffallen ist schwer.",,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/auffallen,wiktionary
fallen,ausfallen,1,aus-,separable,Verb,nicht mehr zur Verfügung stehen [1a] Personen [1b] Maschinen oder sonstiges,estar de baja,"fail, go",[1a] Auf Grund seiner Verletzung wird der Stürmer für die nächsten 3 Wochen ausfallen.,[1a] Auf Grund seiner Verletzung wird der Stürmer für die nächsten 3 Wochen ausfallen.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/ausfallen,wiktionary
fallen,befallen,1,be-,inseparable,Verb,transitiv : plötzlich betreffen,,"befall, overcome",Die bluthungrigen Parasiten befallen meist Haustiere wie Hunde oder Katzen.,Die bluthungrigen Parasiten befallen meist Haustiere wie Hunde oder Katzen.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/befallen,wiktionary
fallen,beifallen,1,bei-,separable,Verb,veraltet : etwas zustimmend sagen,,,"Das sehe ich auch so, da kann ich Ihnen nur beifallen .","Das sehe ich auch so, da kann ich Ihnen nur beifallen .",,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_en"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/beifallen,wiktionary
fallen,einfallen,1,ein-,separable,Verb,intransitiv : ( unerwünscht oder sogar gewaltsam ) eindringen,invadir,intrude,Die Mongolenhorden fielen in großer Anzahl nach Europa ein.,Die Mongolenhorden fielen in großer Anzahl nach Europa ein.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/einfallen,wiktionary
